pid,label,performer,date_uploaded,embed_url,length,uploaded_by,video_title,video_notes,narrative,rights,location,related_docs,personal_notes
vid0001,Performance by Kuena,Kuena,"June 16, 2013",https://www.youtube.com/embed/trsOgYQ1sAU,3:12,Kuena,“Lift Every Voice and Sing Cover”,"Happy June Teenth! :D...It's super early in the morning, but I had to get this uploaded! Hope you guys enjoy it :D....","Uploaded by Kuena, who performs in the video. This is a self-recorded upload, in which Kuena performs the first verse of the song, in observation of Juneteenth.",Kuena,n/a,"doc0001, doc0002",
vid0002,Performance by Mackenzie Patton ,Mackenzie Patton ,"October 8, 2013",www.youtube.com/embed/rOnKmRApHFo,3:37,Tractor Shed Theatre,Lift Every Voice and Sing' by James Weldon Johnson,Recited by Mackenzie Patton for the Norton's Anthology Student Recitation Contest 2013. Tractor Shed Theatre directed by Molly Rice,"This video features black-and-white archival footage from the March on Washington and Brown Chapel AME Church where MLK delivered his ""mountaintop"" speech. The video is a recitation by Mackenzie Patton, which concludes by singing the final portion of the last verse, ""true to our God, true to our native land."" It ends with archival video footage of black children waving to the camera.",St. Stephens High School's Tractor Shed Theatre; other undertermined,n/a,,
vid0003,Performance by Mary Mary,Mary Mary,"February 9, 2014",www.youtube.com/embed/VmXAYrUx414,6:25,Aubery Reed III,“Lift Every Voice and Sing” instrumental,"Talk about tiring, this new vid took me till almost 2 in the morning :), anyway my newest vid dedicated for this month hope you enjoy it, and your comments and views including rates determine if i keep on dedicating so please enjoy and comment :D","This is an instrumental. The video opens with a photo montage of important Black figures such as Harriet Tubman, Frederick Douglass, Martin Luther King, Jr., Muhammad Ali, Oprah Winfrey with the Obamas, Nelson Mandela, and Medgar Evers, among others. ",Syntax Creative (on behalf of Central South),n/a,,
vid0004,Performance by The Wardlaw Brothers,Wardlaw Brothers,"February 8, 2014",www.youtube.com/embed/RTuRsq7Zf9A,4:28,wardlawbros,“Lift Every Voice and Sing” - The Wardlaw Brothers,"Black history month is a month set aside for us to reflect on the past from which we've come. Black History Month is very important to not only the African American Race, but to all races. So many years have passed and still there are a great number of us who are filled with hatred and envy. The dream of Dr. Martin Luther King Jr. has certainly come true in many areas, however, we are still not there - and we have a long way to go. Let us love one another and please keep the 'dream' alive.","Image of The Wardlaw Brothers' album cover, God's Been There. This video is categorized as a mashup. The video begins with Martin Luther King and other Civil Rights activists marching and singing, “We Shall Overcome.” The video features both archival images and film footage such as the March on Washington, images of significant Afrian Ameriican figures suh as Shirley Chisholm, Colin Powell, Mae Jemison, President Barack Obama and First Lady Michelle Obama, among others.The first and third verses are sung.","The Wardlaw Brothers; TWB Records, 2012",n/a,,
vid0005,Performance by Tennessee State University Choir,Tennessee State University Choir,"August 22, 2007",www.youtube.com/embed/UYd_qWXB-4A,5:09,jhoward5001,Tennessee State University Choir Sings “Lift Every Voice and Sing”,“Lift Every Voice and Sing”,"Tennessee State University Choir performs, accompanied on piano by “Brother D” (named by commenter named “yougoboydc”). YouTube indicates the comment was made 11 years ago, dating this video comment to 2008). All three verses are performed in this video.","Tennessee State University, Department of Music","Tennessee, USA",,
vid0006,"Performance by HBCU 105 Voice Choir, Kenndedy Center Performance 9 18 2011.MPG",HBCU 105 Voice Choir,"September 20, 2011",www.youtube.com/embed/EYN7wfypURE,5:32,Joanie Perkins Potter,“Lift Every Voice and Sing” by HBCU 105 Voice Choir,"This performance of Lift Every Voice and Sing by the HBCU 105 Voice Choir was breathtaking! It was performed as the finale number of their annual conference performance in Washington, DC on September 18, 2011 at the JF Kennedy Center.","Video recorded and uploaded by audience member in balcony seating. Shot from a high angle with handheld camera or camera phone. Choir sings all verses of the song, accompanied by musicians. Comments posted indicated that the arrangement was done by Roland Carter. ","Joanie Perkins Potter, 2011","Washington, D.C.",,
vid0007,Performance by Pearl-Cohn Entertainment Magnet High School,Pearl-Cohn Entertainment Magnet High School,"March 24, 2013",www.youtube.com/embed/FlvHj9w3ZTI,7:54,Cedric J. Caldwell,Music Makes Us presents “Lift Every Voice”,"Pearl-Cohn Entertainment Magnet High School is home to a first-of-its-kind student-run record label, managed through a strategic alliance with Warner Music Nashville and a state-of-the-art recording studio. The recording studio is designed and equipped with support from The Recording Academy's Producers and Engineers Wing, Steven Durr Designs and features equipment from audio manufacturers, including Harman Professional, which includes the JBL/AKG/ and Lexicon brands; API; Audio-Technica; Fredenstein Professional Audio; Shure, Inc.; Solid State Logic and Prometheus Charitable Trust. The Recording Studio also acknowledges a groundbreaking Federal grant from the Magnet Schools Assistance Program, which established Pearl-Cohn as the only entertainment magnet high school in the country in 2010. The new music industry pathway at Pearl-Cohn is a component of Music Makes Us, a joint effort of Metro Nashville Public Schools, Mayor Karl Dean and music industry and community leaders, to lead the nation in music education. With a focus on music literacy and student participation, Music Makes Us is strengthening traditional school music while adding a contemporary curriculum that embraces new technologies and reflects a diverse musical landscape.","This video is an excerpt from the documentary film, “Music Makes Us,” about the Pearl-Cohn Entertainment Magnet High School's interpretation and performance of “Lift Every Voice and Sing.” The song features student performer and sings the threads of Martin Luther King Jr.'s “let it ring” and “let freedom ring (all over the world)”; the performance ends with an original rap beginning at 5:13, followed by an a capella performance of the chorus, “we keep marching on/till victory is won.” ","Pearl-Cohn Entertainment Magnet High School, 2013. Listed as ""A Gospel Tribute to Martin Luther King, Jr. "" and Licensed to YouTube by Syntax Creative (on behalf of Central South).","Nashville, TN",,
vid0008,Performance by Committed,Committed,"February 25, 2015",www.youtube.com/embed/ngFDy52eCZY,4:30,committedsings,“Lift Every Voice”,"Enjoy Committed's version of the “Black National Anthem” as they commemorate Black History month. Follow, like, share and subscribe. Special thanks to the students of Oakwood University's Department of Communication. Mahalia Latortue, Nkenge Jones, Symone Coles Brandon Pridgett, Ashley Berry. Video recorded live at Oakwood University! A P-Gates Production","A cappella performance by Committed, at Oakwood University. Layered, clear vocals. They perform all three verses. ",Committed; video is a P-Gates Production,"Huntsville, AL",,
vid0009,Artists Unknown,unknown (children's choir),"February 10, 2016",www.youtube.com/embed/a2GaRAHavtE,1:59,Katie McMahon,“Lift Every Voice and Sing”,"Music K-8, Volume 11, Number 3 (video created using PowToons)",A children's chorus performs. Video has an orange screen over which the lyrics are superimposed. A pair of hands pull down the orange canvas as the lyrics are sung.,"Copyright ©1997-2019 Plank Road Publishing, Inc. All Rights Reserved",n/a,,
vid0010,Pearl-Cohn Entertainment Magnet High School,Pearl-Cohn Entertainment Magnet High School,"May 26, 2013",www.youtube.com/embed/x8D5HBb9SDw,28:49:00,Cedric J. Caldwell,“Lift Every Voice and Sing” (The Documentary),"Cedric Caldwell, Published May 26, 2013. Behind-the-Scenes look at the “Makig of Lift Every Voice & Sing” by the Pearl-Cohn Entertainment Magnet","Documentary film that looks behind the scenes of the Pearl Cohn Entertainment Magnet School's performance of “Lift Every Voice and Sing.” The film features interviews with students and faculty; an excerpt of an Obama speech (video by DimeWars). Emphasis on researching other performances that existed in order to make “our authentic version.” The documentary includes a video compilation of other performances (some of which are included in this collection). Significantly, the video also includes performances by everyday African Americans--in parks, on the street, in schools, and in other locales, emphasizing the songs’ relationship to the everyday and the staged peformances. Finally, the video takes us behind the scenes to look at the technologies involved in the “sonic process”--recording, editing, cutting, story-boarding--so that the song flows seamlessly.","Pearl-Cohn Entertainment Magnet High School, 2013.","Nashville, TN",,
